"","post_id","type","timestamp","caption","hashtags","n_hashtags","is_video","video_views","n_likes","n_comments","n_uniq_commenters"
"348","ig348","GraphVideo",2020-02-09 19:15:09,"Selamat Hari Pers Nasional! <U+2063><U+2063>Halo, Sobat JDS! Ingat nggak, sih, dulu kalau ingin tahu informasi akurat cuma mengadalkan berita dari media konvensional seperti koran, televisi atau radio? Berbeda banget dengan hari ini, informasi bisa tersebar cepat lewat sosial media. <U+2063><U+2063>Nah, derasnya penyebaran berita lewat media sosial juga punya problematikanya sendiri, nih, Sobat JDS! Pasti kalian sudah familiar dengan HOAKS, musuh kita bersama, ‘kan? Mulai dari anak muda hingga orang tua, sekarang mudah banget termakan berita bohong. <U+2063><U+2063>Kira-kira kenapa, ya? Yuk, dengerin obrolan host @neamaryn bareng @fianova dari @jabarsaberhoaks tentang hoaks yang cepat banget beredar di masyarakat, termasuk di Jawa Barat yang menurut survei APJII pengguna internetnya adalah sekitar 16% dari seluruh pengguna internet di Indonesia! <U+2063><U+2063>Tahu, nggak, kalau hoaks banyak digunakan untuk menjatuhkan orang dan parahnya juga punya dampak bagi pembangunan? Wah, gawat, ‘kan? Biar pengetahuan kalian tentang hoaks lebih mendalam, langsung aja dengerin #DIGITALKS Ep. 06 “Sikapi Hoaks di Tengah Deras Arus Informasi” dan dengerin cerita-cerita Alfian dan tim menangkal hoaks di Jawa Barat di Spotify: bit.ly/digitalksep06<U+2063><U+2063>#LawanHoaks #JabarDigitalProvince #LiterasiDigital","JabarDigitalProvince, LiterasiDigital, DIGITALKS, LawanHoaks",4,TRUE,458,22,0,0
"349","ig349","GraphVideo",2020-02-06 19:06:07,"Hai, Sobat JDS!<U+2063><U+2063>Jabar Digital Service dan @diskominfojabar telah menyelenggarakan TechUpdatexNextTalk dengan tema ""Unveiling Experience Using Kubernetes & Rancher"" pada Kamis (30/01) di NextSpace by UnionSpace.<U+2063><U+2063>Pada kesempatan kali ini, Aldira Putra Raharja, Platform Engineer di Sorabel, membagikan pengalamannya menggunakan platform Kubernetes dan bagaimana mengembangkannya. Selain itu, Akhmad Fakhoni Listiyan Dede, System Engineer dari Catapa, juga menjelaskan tentang bagaimana mengelola container open-source menggunakan Rancher.<U+2063><U+2063>Tema platform manajemen workload aplikasi open-source ini menjadi sangat menarik saat didiskusikan dan didemokan secara langsung bersama wargi #JabarJuara pegiat IT dan komunitas Kubernetes Cloud Natives Bandung, yang pada TechUpdate kali ini bekerja sama dengan Jabar Digital Service!<U+2063><U+2063>TechUpdate adalah acara bincang teknologi dwimingguan yang diadakan oleh Jabar Digital Service dan @diskominfojabar. Untuk informasi acara TechUpdate selanjutnya, ikuti kami di media sosial dan sampai bertemu di TechUpdate berikutnya!<U+2063><U+2063>#DigiRecap #DigiEvent #JabarDigitalServices #TechUpdate","DigiRecap, DigiEvent, TechUpdate, JabarDigitalServices, JabarJuara",5,TRUE,543,35,0,0
"350","ig350","GraphSidecar",2020-02-04 19:07:17,"Pemerintah Provinsi Jawa Barat menerima kedatangan Pemerintah Negara Bagian Sarawak Malaysia di Jabar Command Center, Gedung Sate, Bandung, pada Senin (03/02).<U+2063><U+2063>Pada kesempatan tersebut, Pemerintah Sarawak melakukan studi banding dalam pembangunan e-Government dan implementasi Smart City di Kota Bandung dan Cimahi. Selain itu, kunjungan ini juga bertujuan untuk mengeksplorasi potensi kerja sama yang dapat dijalin antara Pemerintah Sarawak dengan Pemdaprov Jabar. <U+2063><U+2063>Pemdaprov Jabar tengah berusaha mewujudkan visinya menjadi Provinsi Digital. Salah satu upayanya adalah dengan membangun Jabar Command Center sebagai perwujudan pemanfaatan teknologi, inovasi, dan data dalam mengelola pemerintahan dan pelayanan publik serta menghasilkan kebijakan yang lebih tepat sasaran.<U+2063><U+2063>Pemanfaatan teknologi pada konsep Digital Province di Jawa Barat juga diharapkan menjadi representasi perkembangan digital pada tata kelola dan layanan publik di pemerintahan bagi Provinsi dan Pemerintah Daerah lain di Indonesia maupun negara-negara berkembang di dunia.<U+2063><U+2063>#DigiRecap #KunjunganKerja #NegaraBagianSarawak #JabarDigitalProvince #JabarDigitalService #CommandCenterJabar #JabarJuara","DigiRecap, CommandCenterJabar, JabarDigitalService, NegaraBagianSarawak, JabarDigitalProvince, KunjunganKerja, JabarJuara",7,FALSE,NA,149,1,1
"351","ig351","GraphImage",2020-02-03 20:01:25,"Sampurasun, Sobat JDS!<U+2063><U+2063>Seminar dwimingguan Jabar Digital Service dan @diskominfojabar kembali digelar! <U+2063><U+2063>Ingin tahu bagaimana branding mampu mempengaruhi UI dan desain untuk mencapai tujuan bisnis yang diharapkan? <U+2063><U+2063>Jabar Digital Service bakal kupas tuntas tentang ini di ""TechUpdate x NextTalk: How Branding Essentials Influence Business' UI & Design"", bareng Ryan Pratama, Lead UI Designer di Giza Lab dan Zaki Fitria, Creative Director & UI/UX Designer di Hubton. Kapan?<U+2063><U+2063>Catat tanggalnya! <U+2063>Jumat, 7 Februari 2020<U+2063>Pukul 15:30 WIB - selesai<U+2063>Di NextSpace, Jl. Trunojoyo No 11 Bandung. <U+2063><U+2063>Peserta yang hadir akan mendapatkan sertifikat juga lho! <U+2063><U+2063>Acara ini gratis dan terbuka untuk umum. Ayo segera daftar di event.jabarprov.go.id, tempat terbatas!<U+2063><U+2063>Berhalangan hadir? Jangan khawatir, kami akan LIVE di instagram @jabardigitalservice sepanjang acara!<U+2063><U+2063>Sampai bertemu Jumat ini!<U+2063><U+2063>#techseminar #seminarbandung #workshopbandung #jabardigitalservice #civictech","workshopbandung, civictech, techseminar, jabardigitalservice, seminarbandung",5,FALSE,NA,221,15,11
"352","ig352","GraphSidecar",2020-01-29 17:56:07,"Di sepanjang tahun 2019, Jawa Barat telah meluncurkan piloting 20 desa digital tematik di bidang perikanan, pertanian, multimedia, pendidikan, dan kesehatan, serta menginstal WiFi gratis di 386 desa dan membangun 25 pusat pelatihan digital desa (Talesa). Lebih dari 2,000 pembudidaya, petani, pekerja kreatif, umkm, guru, dan tenaga kesehatan merasakan peningkatan pendapatan dan perbaikan kualitas hidup melalui program ini.Pemdaprov Jabar akan terus mendorong implementasi inovasi berbasis teknologi digital di ribuan desa berindeks tertinggal dan berkembang di Jawa Barat di berbagai tematik lainnya, disesuaikan dengan ragam potensi desa. Desa Digital terwujud melalui kerjasama pentahelix antara dinas terkait dan mitra startup.Pemdaprov Jawa Barat ingin mendorong mitra untuk memperhatikan kesejahteraan dan pembangunan di desa melalui investasi pada teknologi digital, dengan mendukung replikasi Desa Digital melalui dana CSR dan dukungan teknis lainnya. Melalui program ini, Pemdaprov Jabar mengundang mitra bisnis, akademisi, komunitas, media, pemerintah kabupaten dan perangkat desa se-Jawa Barat bersinergi dengan Pemdaprov Jabar, melalui @diskominfojabar @dpmdesajabar dan @jabardigitalservice, untuk meningkatkan penghidupan di desa dan menurunkan tingkat kesenjangan wilayah kota dan pedesaan.#jabarjuara #desadigital #jabarkita #banggajadiwargajabar","jabarjuara, jabarkita, banggajadiwargajabar, desadigital",4,FALSE,NA,319,7,7
"353","ig353","GraphImage",2020-01-28 18:50:58,"Sampurasun! <U+2063><U+2063>Seminar teknologi dwimingguan @diskominfojabar dan Jabar Digital Service kembali hadir pekan ini dengan tema yang bakal menarik banget untuk Sobat JDS pegiat IT! <U+2063><U+2063>Yuk, diskusi soal platform manajemen workload aplikasi open-source bareng komunitas Kubernetes Cloud Natives di TechUpdate x NextTalk: “Unveiling Experience using Kubernetes & Rancher”. Kapan, tuh?<U+2063><U+2063>Catat tanggalnya, jangan sampai ketinggalan:<U+2063>Kamis, 30 Januari 2020<U+2063>Pukul 15:00<U+2063>Di NextSpace by UnionSpace, Jl. Trunojoyo no. 11, Bandung<U+2063><U+2063>Jangan lupa buat daftar di event.jabarprov.go.id SEGERA karena KURSI TERBATAS!<U+2063><U+2063>Berhalangan datang atau tidak berdomisili di Bandung? Jangan khawatir, kami akan LIVE di Instagram @jabardigitalservice sepanjang acara! <U+2063>Sampai ketemu hari Kamis, Sobat JDS!<U+2063><U+2063>#techseminar #seminarbandung #workshopbandung #kubernetes #cloudnative #jabardigitalservice #civictech","workshopbandung, cloudnative, kubernetes, civictech, techseminar, jabardigitalservice, seminarbandung",7,FALSE,NA,146,3,3
"354","ig354","GraphImage",2020-01-25 20:40:57,"Sampurasun, Sobat JDS!Jabar Digital Service mengucapkan Selamat Tahun Baru Imlek 2571 bagi wargi #JabarJuara yang merayakan.Semoga kedamaian, kebahagiaan, dan kesehatan selalu menyertai kita di tahun Tikus Logam ini.","JabarJuara",1,FALSE,NA,77,0,0
"355","ig355","GraphSidecar",2020-01-24 20:34:02,"Transformasi digital di Jawa Barat perlu didukung dengan standarisasi keahlian tenaga IT pemerintah dan standarisasi teknologi, termasuk dalam hal pengadaan barang dan jasa IT. Perlu penyeragaman, penyederhanaan, dan percepatan proses pengadaan barang dan jasa agar program digitalisasi dapat terakselerasi.@diskominfojabar @jabardigitalservice dan @biropbj.jabar bekerjasama dengan @gdsteam, dalam kerangka kerja sama program Global Digital Marketplace (GDMP), akan memulai riset dan pendalaman proses bisnis dan kebutuhan transformasi kegiatan belanja dan pengadaan barang dan jasa IT. Jawa Barat akan menjadi salah satu provinsi pertama yang dijadikan percontohan untuk mekanisme pengadaan barang dan jasa IT yang transparan, efisien dan mengutamakan optimalisasi daya guna (value-for-money).","",0,FALSE,NA,252,4,4
"356","ig356","GraphVideo",2020-01-17 10:15:14,"Kata “digital” biasa diasosiasikan dengan kecanggihan wilayah urban. Apakah saat ia disandingkan dengan kata “desa” Sobat JDS bisa membayangkannya? <U+2063><U+2063>Hampir semua sektor di dunia sedang berkejaran dengan perkembangan teknologi supaya tidak ketinggalan manfaatnya, termasuk juga di pemerintahan. Pemerintah Jawa Barat memiliki tantangan unik: luasnya wilayah rural yang belum punya akses ke teknologi. <U+2063><U+2063>Sementara wilayah urbannya terus maju mengikuti kecanggihan teknologi digital, wilayah desa yang masiih jadi “blankspot” tadi akan semakin tertinggal bila pemerintah tidak hadir untuk mendampingi pengenalan kepada kemajuan teknologi dan manfaatnya.<U+2063><U+2063>Di episode pertama tahun 2020, host @neamaryn #MingleBareng Tim Implementasi @jabardigitalservice: @biondisima @aiiumm dan @rizieadvista untuk ngobrolin bagaimana program “Desa Digital” bertujuan untuk menanggulangi tantangan tersebut agar desa-desa Jabar tidak ketinggalan kemajuan teknologi.<U+2063><U+2063>Yuk, dengerin cerita tim yang tugasnya mengeksekusi langsung program Desa Digital di lapangan ini di: http://bit.ly/digitalkse05<U+2063><U+2063>#JabarDigitalProvince #JabarJuara #DesaDigital #CivicTech #Tech #TechPodcast","Tech, TechPodcast, MingleBareng, CivicTech, JabarDigitalProvince, DesaDigital, JabarJuara",7,TRUE,964,76,2,2
"357","ig357","GraphSidecar",2020-01-14 20:56:14,"Hai, Sobat JDS !Jumat (10/01) lalu, Jabar Digital Service dan @diskominfojabar telah mengadakan TechUpdate x NextTalk dengan tema Master Data Management : The Key to Managing Data in Government Sector” di NEXT Space by Union Space.Tim Data dari Jabar Digital Service bersama wargi #JabarJuara berdiskusi di acara TechUpdate mengenai peran manajemen data dalam sektor pemerintahan melalui tema “Master Data Management : The Key to Managing Data in Government Sector”. Pada sesi pertama Hidayat Irnas, berbicara mengenai ETL dengan memanfaatkan Apache Airflow. Pada sesi selanjutnya Kurnia Sari Aisyah, menjelaskan soal analisis dan visualisasi data di sektor pemerintahan. Menurutnya analisis data itu sama seperti “menyelam”- dimulai dari permukaan dan jawaban akan ditemukan di berbagai kedalaman.Bersama dengan wargi #JabarJuara, para pembicara berdiskusi tentang ruang lingkup dan fungsi data analis hingga peran manajemen data untuk membantu pemerintah dalam mengambil keputusan, perencanaan strategis, dan proses eksekusi. TechUpdate adalah acara bincang teknologi dwimingguan yang diselenggarakan Jabar Digital Service dan @diskominfojabar. Untuk informasi mengenai TechUpdate selanjutnya, ikuti kami di media sosial !Sampai bertemu di TechUpdate selanjutnya!","JabarJuara",1,FALSE,NA,302,10,9
"358","ig358","GraphImage",2020-01-14 12:01:12,"Halo, Sobat JDS!Rekrutmen Jabar Digital Service kali ini resmi DITUTUP!Terima kasih atas antusiasme yang luar biasa dari Sobat JDS! Jumlah pendaftar gelombang ini yang cukup tinggi membuat persaingan menjadi sangat ketat.Kandidat yang berhasil LOLOS seleksi administrasi akan kami hubungi melalui EMAIL, pada tanggal 15 Januari 2020. Jadi, pastikan untuk selalu cek kotak masuk kamu ya, Sobat JDS!Terus ikuti informasi terbaru mengenai proses rekrutmen di media sosial Jabar Digital Service serta laman resmi kami di digitalservice.jabarprov.go.idSemoga kamu adalah salah satu kandidat yang lolos ke tahap berikutnya dan bergabung bersama kami untuk menjadi bagian dari perubahan di Jawa Barat, ya!Diantos!","",0,FALSE,NA,276,262,111
"359","ig359","GraphImage",2020-01-13 13:21:21,"Halo Sobat JDS!Ada kabar gembira, pendaftaran seleksi Jabar Memanggil DIPERPANJANG!Melihat antusiasme yang begitu tinggi, sekaligus memperluas kesempatan Sobat JDS untuk bisa bergabung bersama tim JDS, kami memutuskan untuk MEMPERPANJANG proses seleksi hingga 14 Januari 2020 (pukul 12.00 siang). Untuk pengumuman lolos hasil seleksi administrasi akan dilaksanakan TETAP sesuai jadwal semula yakni pada tanggal 15 Januari 2020, dan akan dikirimkan ke alamat email masing-masing pendaftar yang lolos.Ayo pergunakan kesempatan ini dan jangan lupa lengkapi berbagai persyaratan sebelum waktu perpanjangan habis!Terus ikuti informasi terbaru mengenai proses rekrutmen di media sosial Jabar Digital Service serta laman resmi kami di digitalservice.jabarprov.go.id. Semoga kamu menjadi salah satu kandidat yang lolos  dan bisa bergabung bersama kami untuk menjadi bagian dari perubahan di Jawa Barat!","",0,FALSE,NA,361,90,52
"360","ig360","GraphVideo",2020-01-11 07:24:36,"Selasa (7/01), Jabar menerima kunjungan 39 mahasiswa dari Harvard University di Command Center Provinsi Jawa Barat di Gedung Sate, Bandung. Kunjungan mahasiswa yang kebanyakan berasal dari Harvard Business School, Kennedy School, Design School, dan Education School ini adalah bagian dari program Indonesia Trek 2020 yang diadakan oleh Harvard University.Saat ditanya mengenai impresi mereka akan Jabar Command Center, salah satu mahasiswa Harvard Kennedy School of Public Policy asal Venezuela, Alfred, mengungkapkan bahwa sangat menarik melihat Jabar begitu berkomitmen untuk menggunakan teknologi dalam menghubungkan pemerintah dengan warganya.Bahkan, menurutnya Jabar bisa menjadi contoh bagi negara-negara berkembang di dunia, termasuk negara asalnya, dalam mengembangkan teknologi untuk memperbaiki tata kelola dan pelayanan publik.Ia juga berpendapat bahwa dedikasi Gubernur Jabar @ridwankamil dalam menggunakan waktu menjabatnya untuk mempromosikan perubahan lewat teknologi patut diapresiasi.Dalam kepemimpinannya, Kang Emil memiliki visi agar Jabar bisa menjadi Provinsi Digital. Dibangunnya Command Center ini merupakan upaya Pemprov Jabar untuk lebih memanfaatkan teknologi, inovasi, dan data dalam mengelola pemerintahan, melayani publik, dan menghasilkan kebijakan yang lebih tepat sasaran.#JabarDigitalProvince #CommandCenterJabar","JabarDigitalProvince, CommandCenterJabar",2,TRUE,3204,214,6,6
"361","ig361","GraphImage",2020-01-07 19:24:00,"Halo, Sobat JDS!Mengawali tahun 2020, TechUpdate kembali menyapa wargi Jabar dengan tema TechUpdate x Next Talk “Master Data Management: The Keys to Managing Data in Government Sector”. Manajemen data telah diakui sebagai bagian yang penting dalam penerapan sistem IT. Bukan hanya itu, manajemen data juga memiliki peran besar dalam sektor pemerintahan khususnya dalam memberikan informasi analitis untuk membantu proses pengambilan keputusan, perencanaan strategis, dan proses ekseskusi.Apa saja teknik dan tools yang bisa digunakan dalam proses manajemen data pada sektor pemerintahan? Temukan jawabannya melalui diskusi bersama Jabar Digital Service dan @diskominfojabar di TechUpdate x Next Talk  yang akan dibagi dalam 2 sesi pembahasan:Sesi 1: Data Analysis and Visualization oleh Kurnia Sari Aisyiah (Data Analyst at Jabar Digital Service)Sesi 2: Data Orchestrating using Apache Airflow Hidayat Irnas (Data Engineer at Jabar Digital Service)Acara ini akan dilaksanakan pada Jumat, 10 Januari 2019, pukul 14.00 – 16.00 di NextSpace by Union Space, Jl. Trunojoyo No. 11, Bandung. Ayo segera daftar di: event.jabarprov.go.id. Jangan sampai ketinggalan karena KURSI TERBATAS!Bagi Sobat JDS yang tidak berdomisili di Bandung, jangan khawatir! Kami akan LIVE di instagram @jabardigitalservice sepanjang acara.Sampai bertemu di hari Jumat !","",0,FALSE,NA,288,25,16
"362","ig362","GraphImage",2020-01-07 12:13:39,"Sampurasun!JABAR MEMANGGIL: Kamu bisa jadi bagian dari perubahan di Jawa Barat!Jabar Digital Service kembali membuka kesempatan buat kamu untuk bergabung di tim yang bantu akselerasi transformasi digital tata kelola dan pelayanan publik di Jawa Barat.Mau jadi bagian dari perubahan itu? Lihat posisi-posisi apa saja yang tersedia dan persyaratannya di laman resmi kami: digitalservice.jabarprov.go.idJangan ketinggalan kesempatan untuk berkontribusi langsung dalam pembangunan daerah dengan skill yang kamu miliki! Catat tanggal-tanggal pentingnya, ya:- Pendaftaran: 7 - 12 Januari 2020- Pengumuman Hasil Seleksi Administrasi: 15 Januari 2020- Tes Kompetensi dan Wawancara: 16 - 22 Januari 2020- Pengumuman Hasil Wawancara: Waktu menyusul- Verifikasi dan Validasi: Waktu menyusul- Pengumuman Akhir: Waktu menyusulAyo jadi bagian dari anak muda yang berinovasi dan berkontribusi langsung dalam tata kelola pemerintahan yang lebih efisien, memperbaiki layanan publik, dan membantu meningkatkan taraf hidup masyarakat melalui teknologi digital!","",0,FALSE,NA,1022,177,116
"363","ig363","GraphImage",2020-01-02 21:43:51,"Sampurasun!Bagi warga Jawa Barat yang terdampak bencana banjir dan membutuhkan bantuan segera, silakan hubungi nomor-nomor penting di atas.Bagi ketua RW yang telah memiliki akses ke Sapawarga, mohon laporkan situasi setempat dengan mengisi ’SURVEI TANGGAP BENCANA’ yang ada di aplikasi Sapawarga untuk membantu kesiapsiagaan penanganan bencana banjir.Hatur nuhun!","",0,FALSE,NA,86,0,0
